Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Sex]	Term Source REF	Term Accession Number	Factor Value[Immune treatment]	Term Source REF	Term Accession Number	Factor Value[Collection timepoint]	Unit	Term Source REF	Term Accession Number
CHCs_Wm1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Wm1	male			wounded			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Wm2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Wm2	male			wounded			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Wm3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Wm3	male			wounded			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Wm4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Wm4	male			wounded			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Wm5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Wm5	male			wounded			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CHCs_Wm6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	cuticular hydrocarbons	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CHCs_Wm6	male			wounded			18	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Blank	blank			blank						experimental blank	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000218	Sample collection	Glands_24h_Blank							24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_72h_Blank	blank			blank						experimental blank	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000218	Sample collection	Glands_72h_Blank							72	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nf1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nf1	female			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nf2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nf2	female			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nf3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nf3	female			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nf4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nf4	female			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nf5	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nf5	female			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nf6	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nf6	female			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nf7	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nf7	female			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nf8	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nf8	female			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nm1	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nm1	male			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nm2	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nm2	male			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nm3	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nm3	male			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
Glands_24h_Nm4	Tribolium castaneum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_7070	stink gland secretions	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Tribolium castaneum str. Croatia 1 (CRO1)			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	Glands_24h_Nm4	male			naive			24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
